0,2217	79,78	
0,3522	78,66	
0,6529	78,77	
0,9790	104,80	
1,2797	84,45	
1,5478	77,43	
1,7725	68,68	
1,9355	74,34	
2,0986	85,75	
2,2870	70,04	
3,0406	61,43	
3,2145	54,12	
3,3196	54,67	
3,5478	61,70	
4,0768	63,81	
4,3703	62,69	
4,5043	68,27	
4,7000	53,90	
5,0986	54,01	
5,2145	55,57	
5,4283	52,97	
5,6638	56,34	
5,9826	54,38	
6,3377	55,27	
6,5551	52,99	
6,6565	51,21	
6,7870	51,64	
6,9899	52,50	
7,4609	53,65	
7,5696	53,20	
7,7652	52,05	
8,0043	56,86	
8,1493	56,33	
8,3522	57,96	
8,4754	59,98	
8,7362	59,64	
9,1275	59,57	
9,2870	59,32	
9,4101	60,10	
9,5261	61,94	
9,8123	62,38	
10,0478	63,34	
10,2072	63,98	
10,4355	66,15	
10,6819	66,68	
10,8993	67,65	
11,1094	73,42	
11,2254	63,55	
11,3268	60,39	
11,4464	60,93	
11,5949	59,61	
11,7072	58,75	
11,8667	59,31	
11,9935	57,92	
12,2725	55,42	
12,4101	57,14	
12,5442	54,31	
12,6855	53,41	
12,8268	55,60	
12,9391	54,04	
13,0768	54,93	
13,3304	57,03	
13,4826	59,03	
13,6710	59,05	
13,9572	60,88	
14,0986	61,80	
14,3884	59,47	
14,5043	61,63	
14,6203	59,67	
14,7616	60,16	
15,1275	60,90	
15,3377	60,77	
15,4391	58,86	
15,5406	58,66	
15,6493	57,38	
15,8739	58,91	
16,0225	58,12	
16,4174	56,02	
16,8812	57,96	
17,0551	59,52	
17,2580	56,83	
17,4101	56,34	
17,6130	55,36	
18,1783	54,80	
18,4210	55,30	
18,9681	53,14	
19,2580	57,17	
19,4391	54,97	
19,6275	58,23	
20,2145	54,35	
20,3812	52,49	
20,6710	52,13	
21,6565	55,22	
21,8667	52,42	
22,2507	54,38	
22,7580	59,36	
23,1710	58,20	
23,4754	55,21	
23,7797	54,48	
24,2507	56,80	
24,6203	56,45	
24,7870	56,31	
25,0188	58,21	
25,1710	58,12	
25,3957	56,44	
25,8123	57,36	
26,2362	58,26	
26,6493	59,92	
27,0406	60,84	
27,4536	58,56	
27,5986	59,87	
28,2435	60,58	
28,5043	63,66	
28,7290	63,27	
30,9391	65,02	
31,3159	65,00	
31,8087	63,21	
31,9174	62,68	
32,3667	63,39	
32,6928	63,28	
33,2362	62,61	
33,4826	63,32	
33,5986	64,35	
34,7797	64,35	
35,1891	65,17	
35,9754	63,83	
36,1710	62,67	
36,3232	61,90	
36,4681	61,88	
36,6565	61,76	
36,8159	61,99	
38,1058	57,64	
38,6565	58,59	
38,8739	56,30	
39,2797	54,80	
39,4101	55,39	
39,6203	53,44	
39,7870	54,06	
40,6638	50,79	
41,2942	50,32	
41,4899	50,89	
42,6130	48,61	
42,8232	48,61	
43,0551	48,75	
43,3884	46,20	
43,5841	47,16	
43,8812	45,75	
44,5188	44,25	
44,7435	53,17	
45,0986	42,60	
45,2725	45,30	
45,3957	46,87	
45,5623	44,43	
46,0841	50,54	
46,2580	51,01	
47,1420	53,10	
47,6819	57,77	
48,0043	56,11	
48,2507	54,66	
48,4609	53,97	
49,7652	56,38	
50,2797	55,61	
